,temp,dew_point,pressure,humidity,rain_1h,snow_1h,Rain,Snow,hour_00,hour_02,hour_04,hour_06,hour_08,hour_10,hour_12,hour_14,hour_16,hour_18,hour_20,hour_22,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
temp,1.0,0.8990636948552688,-0.0021548832192804937,-0.38432870749435893,0.08277000425805002,-0.10922742020027854,0.10752231663733461,-0.2012820183591465,-0.13006401281039154,-0.1504817872491114,-0.1332297952321676,-0.08438303981634795,-0.0003186825483114958,0.09193379893639596,0.1504966319027044,0.16284816334008825,0.13316267191840583,0.07014337654034862,-0.0043034865342511525,-0.08329725014892855,-0.4930458753592507,-0.5508722556008384,-0.4741662005040879,-0.2490864909887504,0.0548506764553444,0.3334796848789543,0.5270941345586729,0.5945435713839847,0.46396409264901395,0.20064144525146185,-0.07889636267750254,-0.3308775285870412
dew_point,0.8990636948552688,1.0,-0.09318955741988341,0.05172519133963685,0.13763386261200639,-0.09076542925837636,0.19378034171376335,-0.17953188713649906,-0.029706938181171153,-0.03718063561972494,-0.02755621954950534,-0.003741809068855785,0.017071209451896767,0.030687234557548976,0.02934638171274128,0.018659538143303907,0.009897085171129794,0.0069815318040495015,0.00440994919195923,-0.013732030257245247,-0.4264306216973219,-0.5070792173040545,-0.48188113645182257,-0.3360187197577039,-0.06459852315071103,0.2473265719295194,0.48786957452125873,0.5906619220286328,0.4921789542661176,0.256767690014809,-0.004443219109682793,-0.2554633056445084
pressure,-0.0021548832192804937,-0.09318955741988341,1.0,-0.19478248834133793,-0.17674069616727311,-0.0840928006116887,-0.32464232803203874,-0.08647146933767545,0.004527030075553815,-0.004428063477954481,-0.011129643051984191,-0.008771587429016474,0.0004983002538486974,0.007179830298188911,0.005621726086123152,-0.00021359507857757076,-0.004133409236511497,-0.0021932404194882184,0.00422525748517741,0.008048959750143199,-0.07282113162978142,-0.05799677360117816,0.004916057312590874,0.06864516763986797,0.07696173970623231,0.050298868570380816,0.00942844587598814,-0.00045385753671043185,0.026735801092636142,0.02751796337780772,-0.048323022242642524,-0.0861662279460561
humidity,-0.38432870749435893,0.05172519133963685,-0.19478248834133793,1.0,0.10313708711379423,0.07052050086890428,0.1650242445091196,0.09453492523251004,0.23659636421024766,0.27456184465851896,0.2564778995205895,0.18873316703477552,0.031751400680356055,-0.15112754723866115,-0.2818463410286641,-0.3276041162411499,-0.27935946319895566,-0.15013474304109956,0.007383110932077982,0.15362681053712038,0.24692837810612858,0.1992678269770935,0.06359789708453434,-0.14411954352571102,-0.2566784942948166,-0.2368282380856298,-0.18133432645712844,-0.123985331691786,-0.037849669229506416,0.07056259354803154,0.17159214869733744,0.23203789968388655
rain_1h,0.08277000425805002,0.13763386261200639,-0.17674069616727311,0.10313708711379423,1.0,-0.01823783880324322,0.4781327045771658,-0.029150043118211198,-0.026973101425267276,-0.021485175878531364,-0.017561536874285875,-0.013157994910483637,-0.004165158127322388,0.005389592441808284,0.02750800879064924,0.048124990588231324,0.03313372727922128,0.010699945013849224,-0.008451868685477433,-0.028383913239769666,-0.033642988418495785,-0.04272201442679817,-0.044980053226464936,-0.03950804722980333,-0.007009787735369732,0.027286155363765496,0.04150779116661503,0.04564151504004728,0.03374805150536462,0.02199365848030182,0.01179416417205977,-0.014004330017522531
snow_1h,-0.10922742020027854,-0.09076542925837636,-0.0840928006116887,0.07052050086890428,-0.01823783880324322,1.0,-0.02534032356954089,0.5304968315460152,-0.0002711970584771102,0.0022879380912253443,-0.0006600674598091817,-6.55968286534397e-05,0.00011340558357430146,-0.0032856693389033183,-0.0035104380882384698,0.0007850813141861319,0.0036010710291458094,0.004531004863791554,0.0006505244915392766,-0.004121379064314109,0.07806688982909084,0.10164177305193517,0.06704436410159968,-0.0027882230711082723,-0.036683159629995556,-0.04184996251366393,-0.0420756511334336,-0.04207610821204611,-0.04193973830333564,-0.0395048608254124,-0.02330360198951121,0.0231055833361794
Rain,0.10752231663733461,0.19378034171376335,-0.32464232803203874,0.1650242445091196,0.4781327045771658,-0.02534032356954089,1.0,-0.061566195166603534,-0.047476880532088116,-0.04311305161406244,-0.032164768240879174,-0.021148509092876487,0.0005250428336187787,0.03271790892592645,0.0598588479324895,0.0631147642157082,0.04166179267651059,0.008977870890610837,-0.0169778960360745,-0.037786380255295925,-0.031781786709216435,-0.06047272426833125,-0.064988043969913,-0.049289202184659354,-0.006520263380125754,0.016623381873979815,0.029944729566707858,0.037429194051297,0.04150707814186182,0.040932520719264065,0.04026593066938718,0.006993309694471281
Snow,-0.2012820183591465,-0.17953188713649906,-0.08647146933767545,0.09453492523251004,-0.029150043118211198,0.5304968315460152,-0.061566195166603534,1.0,0.0013194737998882121,-0.001451694596539784,0.0009698086951832415,0.005640661539227482,0.0037015524276722413,-0.001129633848826968,-0.004881808917946865,-0.004339516143831168,-0.003764991325560513,-0.001840397970448168,0.0009570411105668227,0.004588483071907198,0.13243714266638376,0.18184705769213932,0.11696146548919771,-0.009182343495662434,-0.06224060785442531,-0.0706250275176252,-0.0711729724828676,-0.07118214641458215,-0.07105491036142973,-0.06773024569525646,-0.04202662897919275,0.033235321080810815
hour_00,-0.13006401281039154,-0.029706938181171153,0.004527030075553815,0.23659636421024766,-0.026973101425267276,-0.0002711970584771102,-0.047476880532088116,0.0013194737998882121,1.0,0.5048363031671905,-0.12657956020037006,-0.2666795465031659,-0.2783091370872633,-0.27866595921005594,-0.2786699351155195,-0.2786659592100555,-0.2783091370872613,-0.266679546503164,-0.12657956020037264,0.5048363031671946,5.3288479417817646e-17,1.3159222367424986e-16,7.519457943298686e-17,4.429510204226175e-17,3.6598457948475516e-17,-1.2900176653067878e-17,-5.724430509075385e-17,-3.912738434327731e-17,-1.2188270670115366e-17,-4.1722690307165475e-17,-1.0212748304725104e-16,-7.81269738094269e-17
hour_02,-0.1504817872491114,-0.03718063561972494,-0.004428063477954481,0.27456184465851896,-0.021485175878531364,0.0022879380912253443,-0.04311305161406244,-0.001451694596539784,0.5048363031671905,1.0,0.4803886397742104,-0.10745536828970244,-0.2617635419032165,-0.27514485922748333,-0.27555689364753677,-0.2755614839262608,-0.2755568813475358,-0.27513389192038806,-0.26009475630263457,-0.06688952474343457,-9.852057561059649e-17,-1.6221155541663767e-16,-1.2078174752293482e-16,-7.605190090334703e-17,-2.2662720097255473e-17,3.6294851012242884e-17,5.664411679225843e-17,4.1018573013666165e-17,5.882475195038131e-17,1.346010491886937e-16,1.3196909890998678e-16,2.3281466675614402e-17
